metric_id,metric_name,phase,year_or_range,value,unit,confidence,primary_source,secondary_source,methodology_notes,limitations
ECO-005,Government Debt (% of GDP),Peak,1520-1683,~0 (formal),% of GDP,HIGH,"Pamuk (2000) CUP; Salzmann (1993)","Balla & Johnson fiscal crisis comparison paper","No external debt; internal borrowing from Galata bankers and sarrafs for short-term needs; esham system not yet introduced (comes 1775)","Informal obligations to Galata bankers not well documented; military arrears could constitute implicit debt"
ECO-005,Government Debt (% of GDP),Decline,1775,Low (<5 est.),% of GDP (internal only),LOW,"Salzmann (1993) 'Ancien Regime Revisited' Politics & Society 21(4):393-423","Pamuk (2000) CUP","Esham bonds introduced 1775 as life annuities against future tax revenues; first formal domestic borrowing instrument; amount modest initially","No GDP denominator available; esham volume estimates vary; life-annuity structure makes valuation complex"
ECO-005,Government Debt (% of GDP),Decline,1854,~10-15 (est.),% of GDP,LOW,"Ottoman public debt records; first loan £3M at 6% interest issued at 80%","Birdal (2010) Political Economy of Ottoman Public Debt","First foreign loan 1854 for Crimean War; £3M nominal yielding ~£2.4M net; pre-war budget ~7.5M Ottoman liras","GDP estimate extremely uncertain for 1854; ratio is rough approximation"
ECO-005,Government Debt (% of GDP),Decline,1875,~100-150 (est.),% of GDP,LOW,"Ottoman public debt records; Birdal (2010); Reinhart & Rogoff dataset","Karaman & Pamuk (2010)","Nominal debt £200-214.5M; annual debt service £12M = 50%+ of revenue; 15 loans struck 1854-1874; net receipts only ~46% of nominal due to deep discounts","GDP not known precisely; ratio extrapolated from debt/revenue ratio of >50% and revenue/GDP ratio of ~5-10%; actual debt/GDP could be 75-200%"
ECO-005,Government Debt (% of GDP),Decline,1881,~50-75 (est.),% of GDP (post-restructuring),LOW,"Decree of Muharrem 1881; debt reduced from £252.8M to £106.4M","OPDA records; Birdal (2010)","Post-restructuring; OPDA controlled ~32-40% of state revenues for debt service; total includes arrears reduction","Post-haircut figure; effective burden still enormous; GDP denominator uncertain"
ECO-005,Government Debt (% of GDP),Decline,1914,~80-120 (est.),% of GDP,LOW,"Ottoman debt records £139.1M Turkish pounds; Paris Conference 1925 records","Pamuk Ottoman fiscal data","Debt £139.1M at 1914; new borrowing post-1882 under OPDA oversight; debt service manageable due to OPDA efficiency but sovereignty cost enormous","Pre-WWI figure; wartime debt excluded; GDP estimate for 1913 uncertain"
ECO-006,Interest Rates (Government),Rise,1299-1520,N/A - no government borrowing,,HIGH,"Pamuk (2000) A Monetary History of the Ottoman Empire CUP","Inalcik (1994) Ottoman economic and social history","No formal government borrowing; fiscal needs met through timar system and debasement seigniorage","Absence of borrowing means absence of rate data; implicit cost of debasement not captured"
ECO-006,Interest Rates (Government),Peak,1520-1683,N/A - no formal government bonds,,HIGH,"Pamuk (2000) CUP","Salzmann (1993)","Short-term borrowing from Galata sarrafs at unknown but likely high rates; no formal bond market","Informal sarraf lending rates not systematically recorded"
ECO-006,Interest Rates (Government),Decline,1775-1840,~10-12,% annual (esham bonds),LOW,"Salzmann (1993); esham-i cedid 1871 at 10%","Pamuk (2000); Balla & Johnson comparative paper","Esham life annuities implied return ~10%; 1840 kaime paper currency issued at 12.5% interest functioning as bond","Esham returns hard to compute precisely due to life-annuity structure; limited secondary market"
ECO-006,Interest Rates (Government),Decline,1854,6 (nominal) / ~7.5 (effective),% annual,HIGH,"Ottoman loan records 1854; £3M at 6% issued at 80%","Birdal (2010) Political Economy of Ottoman Public Debt","First foreign loan; 6% coupon but issued at 80% of par giving effective yield ~7.5%; guaranteed by Egyptian tribute","Well-documented first sovereign bond; effective rate higher than nominal due to discount"
ECO-006,Interest Rates (Government),Decline,1855,4 (nominal),% annual,HIGH,"Ottoman loan records; UK/France guaranteed","Birdal (2010)","UK/France guarantee during Crimean War reduced rate to 4%; issued at 102.6% of par (premium)","Exceptional rate due to great-power guarantee; not representative of Ottoman credit standing"
ECO-006,Interest Rates (Government),Decline,1858-1873,6-9 (nominal) / 10-15 (effective),% annual,MODERATE,"Ottoman loan records; 15 loans 1854-1874","Pamuk (2000); Homer & Sylla (2005) History of Interest Rates 4th ed.","Nominal coupons 5-9% but deep discounts (1870 lottery loan at 32% of par = 3% coupon but ~9% effective; 1874 loan at 43.5% of par = 5% coupon but ~11.5% effective); deteriorating credit","Effective rates vary dramatically by calculation method; commissions and fees add further costs"
ECO-006,Interest Rates (Government),Decline,1874,~25 (refused),% annual,HIGH,"Contemporary records; Galata bankers refused to lend at 25%","Cited in multiple Ottoman debt studies","Galata bankers refused to lend to government even at 25% interest in 1874 indicating total credit collapse","Anecdotal but well-attested; represents credit market failure not equilibrium rate"
ECO-006,Interest Rates (Government),Decline,1875,5 (post-default offer),% annual,MODERATE,"Ramazan Kararnamesi October 1875","Birdal (2010)","Post-default: government proposed 5% bonds with 10-year maturity for creditors; effectively a forced restructuring","Not a market rate; imposed unilaterally during sovereign default"
ECO-006,Interest Rates (Government),Decline,1882-1914,4-6 (post-OPDA),% annual,MODERATE,"OPDA records; risk premium fell from 5.7% to 2.1%","Pamuk fiscal history; Birdal (2010)","Post-OPDA renewed access to European capital markets; risk premium compression from 5.7% to 2.1% reflects credibility of foreign fiscal control","Rate improvement came at cost of sovereignty; OPDA controlled 32-40% of revenues"
ECO-007,Interest Rates (Commercial),Rise,1299-1520,10-20 (est.),% annual,LOW,"Kuran (2011) The Long Divergence; general Ottoman credit market literature","Inalcik (1994)","Limited formal credit markets; sarraf money-changers and informal lending; Islamic usury prohibition nominally in effect but circumvented","Very sparse data for this period; rates inferred from later evidence and comparable economies"
ECO-007,Interest Rates (Commercial),Peak,1520-1683,10-15 (cash waqfs),% annual,MODERATE,"Kuran & Rubin (2018) 'Financial Power of the Powerless' Economic Journal 128:758-96","Korkut & Bulut 'Ottoman Cash Waqfs: An Alternative Financial System' Insight Turkey","Cash waqfs charged 10-15% with 15% legal cap per Ebussuud decree; rates disguised through legal ruses (istighlal); lenders charged privileged groups MORE (Muslims +1.9% vs non-Muslims)","Cash waqf rates represent regulated segment; unregulated market rates likely higher; Kuran-Rubin data from Istanbul 1602-1799"
ECO-007,Interest Rates (Commercial),Peak,1602-1799,15-20 (male Muslim elites),% annual,MODERATE,"Kuran & Rubin (2018) Economic Journal 128:758-96; dataset of private loans Istanbul 1602-1799","Duke University press release 2016","Male Muslim elites paid ~19-20%; men paid 3.4% more than women; Muslims 1.9% more than non-Muslims; elites 2.3% more; paradoxical premium due to judicial favoritism creating moral hazard","Istanbul-specific; court-registered loans only; informal market not captured; selection bias toward documented transactions"
ECO-007,Interest Rates (Commercial),Decline,1683-1854,12-24,% annual,MODERATE,"Kuran & Rubin (2018); Damascus creditor records at 24%","Pamuk (2000) CUP","Widening range as formal institutions weakened; Damascus reports 24%; Galata banker rates for merchants lower at 12-18%; cash waqf rates stable at 10-15%","Regional variation enormous; Damascus ≠ Istanbul; wartime vs peacetime rates diverge"
ECO-007,Interest Rates (Commercial),Decline,1856-1914,8-15,% annual,MODERATE,"Ottoman Bank records; Galata banker lending rates","Pamuk Ottoman fiscal history","Ottoman Bank (1856/1863) and Galata banker network provided commercial credit; rates declined as formal banking expanded; still higher than Western European peers","Foreign-owned banks served different clientele than traditional sarrafs; dual credit market"
ECO-008,Trade Balance,Rise,1299-1520,Surplus (est.),Qualitative,LOW,"Inalcik (1994) An Economic and Social History of the Ottoman Empire CUP","Pamuk (1987) Ottoman Empire and European Capitalism","Transit trade revenues substantial; control of Silk Road termini; Constantinople 1453 capture redirected trade flows; no systematic trade statistics exist","No quantitative trade data available for this period; inference from narrative sources only"
ECO-008,Trade Balance,Peak,1520-1683,Near balance to mild surplus,Qualitative,LOW,"Inalcik (1994); Pamuk (1987)","Lampe; McGowan cited in economic history of Ottoman Empire","Capitulations 1536 granted France low duties (3% import/export); Balkans ran export surplus; Constantinople ran import surplus; empire overall roughly balanced","Capitulations regime complicates analysis; re-export trade significant; no consolidated trade statistics"
ECO-008,Trade Balance,Decline (early),1700-1838,Mild surplus shifting to deficit,Qualitative,LOW,"Lampe; McGowan; Pamuk (1987) Ottoman Empire and European Capitalism","Issawi (1980) Economic History of Turkey 1800-1914","Cotton exports doubled 1750-1789; Balkans maintained export surplus; overall empire shifting as European manufactures penetrate; 3% capitulation tariffs prevented protection","Transition period poorly documented; regional variation extreme; re-exports and transit trade complicate"
ECO-008,Trade Balance,Decline,1838-1913,Deficit (growing),Qualitative shifting to semi-quantitative,MODERATE,"Pamuk (1987) Ottoman Empire and European Capitalism CUP; Quataert in Inalcik & Quataert (1994)","Williamson (2009) NBER 'Ottoman De-Industrialization 1800-1913'; Issawi (1980/1982)","1838 Treaty of Balta Liman opened markets; imports grew ~8x vs exports ~4x; deindustrialization; by 1900 UK/France/Germany/Austria = 75% of imports 60-70% of exports; trade deficit chronic","Exact figures disputed; Quataert argues handicrafts resisted better than assumed; Great Depression of 1873-96 temporarily aided import-competing sectors"
ECO-009,Currency Debasement Rate,Rise,1326-1444,~0,% per decade,HIGH,"Pamuk (2000) A Monetary History of the Ottoman Empire CUP Table 3.1 Graph A-2","Akce Wikipedia/Grokipedia summary of Pamuk data","Silver content stable at 1.15-1.20g; very minor fluctuations; period of monetary stability","Limited numismatic evidence for earliest period; stability well-established by scholarly consensus"
ECO-009,Currency Debasement Rate,Rise,1444-1481,~8,% per decade,HIGH,"Pamuk (2000) CUP; Mehmed II debasement episodes","Grokipedia akce data","30% total reduction over ~4 decades under Mehmed II; debasements roughly every 10 years; silver fell from ~1.15g to ~0.77g","Well-documented period; Bayezid II reversed policy after 1481"
ECO-009,Currency Debasement Rate,Rise,1481-1520,~1-2,% per decade,HIGH,"Pamuk (2000) CUP","Bayezid II monetary stabilization","Bayezid II ended periodic debasements; silver content ~0.73-0.77g; monetary stability restored","Short period but well-documented; stability confirmed by numismatic evidence"
ECO-009,Currency Debasement Rate,Peak,1520-1585,~1.5,% per decade (0.52% annual),MODERATE,"Pamuk (2000) CUP; Pamuk (2004) 'Prices in the Ottoman Empire 1469-1914'","Barkan price revolution studies","Silver content declined at 0.52% annual rate 1469-1585; two debasements (1489 and 1566); content fell ~12% from ~0.7g to ~0.68g over 96 years","Gradual decline; Pamuk argues debasement more important than silver inflows for price increases"
ECO-009,Currency Debasement Rate,Peak,1585-1600,~45,% per 15-year period (~30% per decade),HIGH,"Pamuk (2000) CUP; 'Great Debasement of 1585-86'","Pamuk (2001) 'Price Revolution in the Ottoman Empire Reconsidered' IJMES 33","Catastrophic: 44% reduction in single episode 1585-86 (0.68g to 0.38g); further to 0.29g by 1600; triggered by fiscal crisis of Long War","Well-documented monetary crisis; Janissary revolts linked to debasement"
ECO-009,Currency Debasement Rate,Peak-Decline transition,1600-1700,~55,% per century (~8% per decade),HIGH,"Pamuk (2000) CUP; silver content 0.29g (1600) to 0.13g (1700)","Pamuk (1997) 'In the Absence of Domestic Currency' JEH 57","From 0.29g to 0.13g; includes period of akce cessation mid-17th century; debased European coinage circulated widely; kurus introduced as replacement","Complex period; akce partially replaced; calculation complicated by currency substitution"
ECO-009,Currency Debasement Rate,Decline,1700-1800,~63,% per century (~9% per decade),HIGH,"Pamuk (2000) CUP; silver content 0.13g (1700) to 0.048g (1800)","Grokipedia akce data","Continued decline; kurus became primary unit (fixed at 120 akce); early kurus ~20g at 60% silver also debased","Akce becoming vestigial unit; kurus debasement is more relevant metric for this period"
ECO-009,Currency Debasement Rate,Decline,1800-1844,~83,% over 44 years (~25% per decade),HIGH,"Pamuk (2000) CUP; 'Great Debasement of Mahmud II'","Grokipedia akce data","Most rapid debasement: 0.048g (1800) to 0.032g (1810s) to 0.008g (1840s); Mahmud II fiscal desperation; kaime paper currency introduced 1840 at 12.5% interest","Terminal phase of akce; effectively worthless; replaced by kurus and paper currency"
ECO-010,Banking Development (1-5 scale),Rise,1299-1520,1.0,Scale 1-5,MODERATE,"Kuran (2011) The Long Divergence; Pamuk (2000) CUP","Inalcik (1994)","Sarraf money-changers only; no formal banking; Islamic prohibition on interest nominally enforced; waqf system provided some credit functions but not banking per se","Scale assessment based on comparative institutional analysis; no formal banking institutions"
ECO-010,Banking Development (1-5 scale),Peak,1520-1683,1.5,Scale 1-5,MODERATE,"Kuran & Rubin (2018); Korkut & Bulut on cash waqfs","Pamuk (2000); Kuran (2011)","Cash waqfs emerged as proto-banking (10-15% lending); Galata sarrafs provided exchange and short-term credit; no joint-stock banking; no central bank; Kuran: no 'durable financial institutions recognizable as banks' before 19th century","Cash waqfs innovative but limited in scale; sarraf network informal; no deposit-taking institutions proper"
ECO-010,Banking Development (1-5 scale),Decline (early),1683-1840,1.5,Scale 1-5,MODERATE,"Kuran (2011); Salzmann (1993); esham system 1775","Pamuk (2000) CUP","Galata bankers (Armenian/Greek/Jewish) increasingly important; esham bonds 1775 = proto-government bond market; sarraf/banker network handles state borrowing; but no chartered banks","Galata bankers sophisticated but not institutionalized; family-based; no limited liability; no branching"
ECO-010,Banking Development (1-5 scale),Decline,1840-1863,2.5,Scale 1-5,MODERATE,"Ottoman Bank Wikipedia/Grokipedia; Hosgor 'Credit and Financing in Early Modern Ottoman Empire'","Daily Sabah Ottoman banking history series","Bank-i Dersaadet 1847 (failed quickly); Banque de Constantinople 1847-1852 (wound up); kaime paper currency 1840; Ottoman Bank 1856 (British); Imperial Ottoman Bank 1863 (Anglo-French) with note-issuing privilege","Rapid institutionalization but all foreign-owned/controlled; domestic banking capacity nil"
ECO-010,Banking Development (1-5 scale),Decline,1863-1914,3.0,Scale 1-5,MODERATE,"Ottoman Bank records; OPDA records; Pamuk fiscal history","Birdal (2010); Galata Stock Exchange records","Imperial Ottoman Bank as de facto central bank; multiple foreign banks; Galata bankers still active; OPDA as parallel fiscal institution; but banking remained dominated by foreign capital and non-Muslim minorities","Banking development real but exogenous; no domestically-owned major bank; serves foreign trade/debt interests primarily"
ECO-011,Capital Market Depth (1-5 scale),Rise,1299-1520,0.5,Scale 1-5,HIGH,"Kuran (2011) The Long Divergence","Pamuk (2000) CUP","No formal capital markets; no tradeable securities; no secondary market for any financial instrument; land/tax assignments (timar) not tradeable","Absence well-documented; no institutional basis for capital markets"
ECO-011,Capital Market Depth (1-5 scale),Peak,1520-1683,1.0,Scale 1-5,MODERATE,"Kuran (2011); Salzmann (1993)","Pamuk (2000) CUP","Malikane (life-term tax farms from 1695 = late peak/early decline) somewhat tradeable; cash waqf shares had limited transferability; no organized exchange; iltizam contracts auctioned but not secondary-traded","Malikane introduction in 1695 is borderline peak/decline; no formal market infrastructure"
ECO-011,Capital Market Depth (1-5 scale),Decline,1775-1860,1.5,Scale 1-5,MODERATE,"Salzmann (1993); esham bond records; EHES working paper 112","Pamuk (2000) CUP","Esham bonds (1775) = first tradeable government debt; traded informally among Galata bankers; no organized exchange yet; malikane and esham created embryonic secondary market","Limited liquidity; no price transparency; restricted to elite investor class in Istanbul"
ECO-011,Capital Market Depth (1-5 scale),Decline,1866-1914,2.5,Scale 1-5,MODERATE,"Borsa Istanbul historical records; Dersaadet Tahvilat Borsasi records","EHES WP 112 'Evidence from the Ottoman Empire and the Istanbul Bourse'","Dersaadet Tahvilat Borsasi (Istanbul Bond Exchange) established 1866; formalized 1873; traded government bonds (esham/tahvilat); commercial code 1861 enabled joint-stock companies; 20 Greek members on exchange committee; expanded to stocks and FX by 1906","Exchange real but narrow; dominated by government debt; limited equity market; foreign-controlled; 1873 Vienna crisis disrupted early operations"
