metric_id,entity,phase,year,value,unit,confidence,source_primary,source_secondary,methodology_notes,limitations
ECO-006,Ottoman Empire,Decline,1854,6 nominal / 7.5 effective,% annual (first foreign loan),HIGH,"Ottoman loan records 1854; £3M at 6% issued at 80%","Birdal (2010)","6% coupon issued at 80% par = ~7.5% effective yield","Well-documented first sovereign bond"
ECO-006,Ottoman Empire,Decline,1858-1873,6-9 nominal / 10-15 effective,% annual,MODERATE,"Ottoman loan records; 15 loans 1854-1874","Homer & Sylla (2005) History of Interest Rates 4th ed.","Deep discounts: 1870 lottery at 32% par; 1874 at 43.5% par","Effective rates vary by calculation method"
ECO-006,Ottoman Empire,Decline,1874,~25 (refused),% annual (credit collapse),HIGH,"Contemporary records; Galata bankers refused to lend at 25%","Multiple Ottoman debt studies","Total credit collapse; Galata bankers refused even at 25%","Anecdotal but well-attested market failure"
ECO-006,Ottoman Empire,Decline,1882-1914,4-6,% annual (post-OPDA),MODERATE,"OPDA records; risk premium fell 5.7% to 2.1%","Birdal (2010)","Post-OPDA restored access to European capital; rate improvement at sovereignty cost","OPDA controlled 32-40% of revenues"
ECO-007,Ottoman Empire,Rise,1299-1520,10-20 (est.),% annual (commercial),LOW,"Kuran (2011) The Long Divergence","Inalcik (1994)","Limited formal credit; sarraf money-changers; Islamic usury prohibition circumvented","Very sparse data; rates inferred from later evidence"
ECO-007,Ottoman Empire,Peak,1520-1683,10-15,% annual (cash waqfs),MODERATE,"Kuran & Rubin (2018) Economic Journal 128:758-96","Korkut & Bulut 'Ottoman Cash Waqfs' Insight Turkey","Cash waqfs at 10-15% with 15% legal cap; Muslim elites paid MORE (~19-20%)","Istanbul court records; unregulated market rates likely higher"
ECO-007,Ottoman Empire,Decline,1683-1854,12-24,% annual (widening range),MODERATE,"Kuran & Rubin (2018); Damascus records at 24%","Pamuk (2000) CUP","Range widened as formal institutions weakened; Damascus 24%; Galata 12-18%","Regional variation enormous; Damascus ≠ Istanbul"
ECO-007,Ottoman Empire,Decline,1856-1914,8-15,% annual,MODERATE,"Ottoman Bank records; Galata banker rates","Pamuk fiscal history","Rates declined as formal banking expanded; still above Western European peers","Foreign-owned banks served different clientele than sarrafs"
ECO-008,Ottoman Empire,Rise,1299-1520,Surplus (est.),Qualitative,LOW,"Inalcik (1994) Economic & Social History CUP","Pamuk (1987) Ottoman Empire and European Capitalism","Transit trade revenues; Silk Road termini control; Constantinople redirect","No quantitative trade data for this period"
ECO-008,Ottoman Empire,Peak,1520-1683,Near balance,Qualitative,LOW,"Inalcik (1994); Pamuk (1987)","Lampe; McGowan","Capitulations 1536 at 3% duties; Balkans export surplus; Constantinople import surplus","No consolidated trade statistics; re-exports significant"
ECO-008,Ottoman Empire,Decline,1838-1913,Deficit (growing),Semi-quantitative,MODERATE,"Pamuk (1987) Ottoman Empire & European Capitalism; Quataert in Inalcik & Quataert (1994)","Williamson (2009) NBER 'Ottoman De-Industrialization'","1838 Balta Liman; imports grew ~8x vs exports ~4x; deindustrialization","Exact figures disputed; Quataert argues handicrafts resisted better"
ECO-009,Ottoman Empire,Rise,1326-1444,~0,% debasement per decade,HIGH,"Pamuk (2000) A Monetary History CUP Table 3.1","Numismatic evidence","Silver content stable at 1.15-1.20g; very minor fluctuations","Limited numismatic evidence for earliest period"
ECO-009,Ottoman Empire,Rise,1444-1481,~8,% debasement per decade,HIGH,"Pamuk (2000) CUP","Mehmed II debasement records","30% total reduction; silver fell from ~1.15g to ~0.77g under Mehmed II","Bayezid II reversed policy after 1481"
ECO-009,Ottoman Empire,Rise,1481-1520,~1-2,% debasement per decade,HIGH,"Pamuk (2000) CUP","Bayezid II monetary stabilization","Silver content ~0.73-0.77g; monetary stability restored","Short period but well-documented"
ECO-009,Ottoman Empire,Peak,1520-1585,~1.5,% debasement per decade (0.52% annual),MODERATE,"Pamuk (2000) CUP; Pamuk (2004) 'Prices in Ottoman Empire 1469-1914'","Barkan price revolution studies","0.52% annual decline; two debasements (1489 and 1566)","Gradual; Pamuk argues debasement > silver inflows for prices"
ECO-009,Ottoman Empire,Peak,1585-1600,~30,% debasement per decade,HIGH,"Pamuk (2000) CUP; 'Great Debasement of 1585-86'","Pamuk (2001) IJMES 33","Catastrophic: 44% in single episode 1585-86 (0.68g→0.38g); to 0.29g by 1600","Well-documented; Janissary revolts linked"
ECO-009,Ottoman Empire,Decline,1600-1700,~8,% debasement per decade,HIGH,"Pamuk (2000) CUP","Pamuk (1997) JEH 57","From 0.29g to 0.13g; akce partially replaced; kurus introduced","Complex period; currency substitution complicates"
ECO-009,Ottoman Empire,Decline,1700-1800,~9,% debasement per decade,HIGH,"Pamuk (2000) CUP","Numismatic data","From 0.13g to 0.048g; kurus also debased","Akce becoming vestigial; kurus more relevant"
ECO-009,Ottoman Empire,Decline,1800-1844,~25,% debasement per decade,HIGH,"Pamuk (2000) CUP; 'Great Debasement of Mahmud II'","Numismatic data","Most rapid: 0.048g→0.008g; Mahmud II fiscal desperation; kaime 1840","Terminal phase; akce effectively worthless"
ECO-010,Ottoman Empire,Rise,1299-1520,1.0,Scale 1-5,MODERATE,"Kuran (2011) The Long Divergence; Pamuk (2000) CUP","Inalcik (1994)","Sarraf money-changers only; no formal banking; waqf credit functions limited","Ordinal scale — requires mapping function for Layer B/C equations"
ECO-010,Ottoman Empire,Peak,1520-1683,1.5,Scale 1-5,MODERATE,"Kuran & Rubin (2018); Korkut & Bulut on cash waqfs","Pamuk (2000); Kuran (2011)","Cash waqfs as proto-banking (10-15%); Galata sarrafs; no joint-stock banks","Ordinal scale — requires mapping function for Layer B/C equations"
ECO-010,Ottoman Empire,Decline (early),1683-1840,1.5,Scale 1-5,MODERATE,"Kuran (2011); Salzmann (1993)","Pamuk (2000) CUP","Galata bankers increasingly important; esham bonds 1775; no chartered banks","Ordinal scale — requires mapping function for Layer B/C equations"
ECO-010,Ottoman Empire,Decline (late),1863-1914,3.0,Scale 1-5,MODERATE,"Ottoman Bank records; OPDA records","Birdal (2010)","Imperial Ottoman Bank as de facto central bank; foreign-dominated banking system","Ordinal scale — requires mapping function for Layer B/C equations"
ECO-011,Ottoman Empire,Rise,1299-1520,0.5,Scale 1-5,HIGH,"Kuran (2011) The Long Divergence","Pamuk (2000) CUP","No formal capital markets; no tradeable securities; no secondary market","Ordinal scale — requires mapping function for Layer B/C equations"
ECO-011,Ottoman Empire,Peak,1520-1683,1.0,Scale 1-5,MODERATE,"Kuran (2011); Salzmann (1993)","Pamuk (2000) CUP","Malikane somewhat tradeable (from 1695); cash waqf shares limited transferability","Ordinal scale — requires mapping function for Layer B/C equations"
ECO-011,Ottoman Empire,Decline,1775-1860,1.5,Scale 1-5,MODERATE,"Salzmann (1993); EHES WP 112","Pamuk (2000) CUP","Esham bonds (1775) = first tradeable government debt; informal trading among Galata bankers","Ordinal scale — requires mapping function for Layer B/C equations"
ECO-011,Ottoman Empire,Decline,1866-1914,2.5,Scale 1-5,MODERATE,"Borsa Istanbul historical records; Dersaadet Tahvilat Borsasi","EHES WP 112","Istanbul Bond Exchange 1866; formalized 1873; government bonds + limited equities by 1906","Ordinal scale — requires mapping function for Layer B/C equations"
GOV-007,Ottoman Empire,Rise,1299-1520,~80-90,% of assessed tax collected,MODERATE,"Inalcik (1994); Pamuk (2004)","Cosgel (2004 UConn WP)","Timar direct collection minimized leakage; no surviving budget data; institutional inference","No direct measurement available; institutional inference only"
GOV-007,Ottoman Empire,Peak,1527-1528,46,% reaching central treasury,HIGH,"Karaman & Pamuk (2010) JEH 70(3):593-629; Barkan IFM 14 (1953-54):251-329","Darling (1996)","46% = central treasury share; remaining 54% retained by timar-holders","Not inefficiency but fiscal design; timar revenues supported military"
GOV-007,Ottoman Empire,Decline,1661-1662,25,% reaching central treasury,HIGH,"Karaman & Pamuk (2010) JEH 70(3):593-629","Salzmann (1993)","25% = central treasury share; two-thirds of net revenue to intermediaries","Malikane holders stopped remitting; ayan usurped collection"
GOV-007,Ottoman Empire,Decline (late),1840-1870,~35-40,% (Tanzimat recovery),MODERATE,"Pamuk (2014) Fiscal Centralisation","Karaman & Pamuk (2010)","Tanzimat aimed to recentralize; some recovery but still lagged European states","Partial reform data"
GOV-008,Ottoman Empire,Rise,1299-1520,1.5,Scale 1-5 (1=low corruption),MODERATE,"Inalcik (1973); Turchin & Nefedov Secular Cycles (2009)","Barkey Bandits and Bureaucrats (1994)","Devshirme meritocracy; fratricide limited elite overproduction; revocable timar","Ordinal scale — requires mapping function for Layer B/C equations"
GOV-008,Ottoman Empire,Peak,1520-1683,2.5,Scale 1-5,MODERATE,"Inalcik (1980); Goldstone Revolution and Rebellion (1991)","White Climate of Rebellion (2011)","Post-1580 deterioration; Celali rebellions; sale of offices beginning","Ordinal scale — requires mapping function for Layer B/C equations"
GOV-008,Ottoman Empire,Decline,1683-1922,4.0,Scale 1-5,HIGH,"Salzmann (1993); Barkey Empire of Difference (2008)","Turchin & Nefedov (2009); Goldstone (1991)","Malikane hereditary; ayan usurped offices; venality institutionalized","Ordinal scale — requires mapping function for Layer B/C equations"
MIL-003,Ottoman Empire,Rise,1299-1520,~50-60,% of total state revenue,MODERATE,"Inalcik (1994); Agoston Guns for the Sultan (2005)","Murphey Ottoman Warfare (1999)","Estimate; no budget data pre-1495; timar system = military-fiscal institution","Extrapolation from later data; no pre-1500 budget survives"
MIL-003,Ottoman Empire,Peak,1527-1528,~52-61,% of total central budget,MODERATE,"Barkan IFM 14 (1953-54):251-329; Murphey (1999) Ch.3","Agoston (1995)","Janissary wages 23.4% of salaries; total military majority of budget","Salaried military grew from 41K to 91K during 16th century"
MIL-003,Ottoman Empire,Peak/Decline,1630,77,% of total central budget,HIGH,"Agoston Ottoman Warfare in Europe; Barkan budgets","Murphey (1999); Karaman & Pamuk (2010)","Wartime peak; military wages 77% of budget","Wartime conditions; not representative of peacetime"
MIL-003,Ottoman Empire,Decline,1670,62.5,% of total central budget,HIGH,"Agoston (1995); Barkan budget data 1669-70","Murphey (1999)","Janissary share rose to 21.01% while individual pay collapsed","Individual Janissary pay: 34.38→11.05 gold pieces (1582-1669)"
MIL-003,Ottoman Empire,Decline,1784-1785,~75,% of total state expenditure,HIGH,"METU thesis: Ottoman Army in 18th Century; 1784-85 budget","Karaman & Pamuk (2010)","Kapikulu alone 53.5% (1784); total military ~75%","Wartime conditions amplified spending"
